Customer ID,Revenue,Orders,AOV,Purchase_Frequency,Lifespan,CLV
18102.0,580987.04,145,4006.8071724137935,145,3,1742961.12
14646.0,528602.52,151,3500.678940397351,151,3,1585807.56
14156.0,313437.62,156,2009.2155128205127,156,3,940312.86
14911.0,291420.81,398,732.2130904522613,398,3,874262.4299999999
17450.0,244784.25,51,4799.691176470588,51,3,734352.75
13694.0,195640.69,143,1368.1167132867133,143,3,586922.0700000001
17511.0,172132.87,60,2868.8811666666666,60,3,516398.61
16446.0,168472.5,2,84236.25,2,3,505417.5
16684.0,147142.77,55,2675.3230909090908,55,3,441428.30999999994
12415.0,144458.37,28,5159.2275,28,3,433375.11
